country,year,sales
Croatia,2023,57694
Czech Republic,2023,221419
Denmark,2023,172798
Ecuador,2023,98018
Egypt,2023,69175
Finland,2023,87509
France,2023,1774723
Germany,2023,2844609
Greece,2023,134484
Hungary,2023,107720
India,2023,4101600
Indonesia,2023,779326
Ireland,2023,122310
Israel,2023,270433
Italy,2023,1565331
Japan,2023,3992727
Kazakhstan*,2023,164000
Kuwait,2023,112969
Malaysia,2023,604000
Mexico,2023,598091
Morocco,2023,145218
Netherlands,2023,372156
New Zealand,2023,110230
Norway,2023,126953
Pakistan,2023,58562
Peru,2023,116724
Philippines,2023,282507
Poland,2023,475032
Portugal,2023,199623
Puerto Rico,2023,96319
Romania,2023,142791
Russia,2023,1049917
Saudi Arabia,2023,645723
Slovakia,2023,88003
South Africa,2023,347388
South Korea,2023,1489363
Spain,2023,949359
Sweden,2023,289827
Switzerland,2023,252214
Taiwan,2023,372800
Thailand,2023,406501
Turkey,2023,967341
Ukraine,2023,60862
United Arab Emirates,2023,225386
United Kingdom,2023,1903054
United States Of America,2023,3116647
Usmca (Former Nafta),2023,3976897
Uzbekistan,2023,146456
Vietnam,2023,290071
